Complexity,Loss,Equation
1,1.6886935e6,"1228.5782"
3,455319.16,"x0 * 4901.017"
5,294810.62,"(x0 * 6929.3857) + -793.6943"
6,285522.16,"(0.1193873 - sin(x0)) * -7516.586"
7,227425.66,"-4045.8113 * sin(-3.317105 * square(x0))"
8,219734.47,"sin(sin(square(x0)) * -3.4945247) * -3889.2131"
9,219365.58,"sin((square(x0) * -3.3458395) - -12.598045) * -4264.948"
10,183860.89,"(sin(2.0112858 - (x0 * 5.4513345)) * -1939.0444) - -1870.0696"
