Complexity,Loss,Equation
1,1.6886935e6,"1228.5275"
3,455319.2,"x0 * 4900.7236"
5,294811.5,"(x0 * 6935.6245) + -796.71924"
6,285515.78,"(sin(x0) * 7504.22) + -895.5391"
7,281753.34,"7545.415 * sin(sin(x0 + -31.537304))"
8,234522.03,"(cos(x0) - cos(square(x0))) * -32129.668"
10,205191.88,"((cos(x0) - cos(square(x0))) * -36175.387) + -278.9813"
