Complexity,Loss,Equation
1,1.6886938e6,"1228.8917"
3,455319.16,"x0 * 4901.1094"
5,294812.12,"(x0 + -0.11458043) * 6926.2705"
6,285529.84,"(sin(x0) * 7487.0327) + -893.19977"
7,281790.38,"sin(sin(x0 + -0.120805256)) * 7464.484"
8,277301.03,"sin((x0 + x0) + -0.25666675) * 4069.0034"
9,277079.34,"sin(sin(x0 + -0.25683835) + x0) * 4098.8345"
10,247826.6,"x0 * (sin((x0 + x0) + x0) * 5823.606)"
