Complexity,Loss,Equation
1,1.6886935e6,"1228.3295"
3,455319.12,"x0 * 4901.099"
5,294810.12,"(x0 * 6934.1807) + -795.304"
6,285515.84,"(sin(x0) * 7502.195) + -894.73785"
7,227381.25,"sin(square(x0) * 3.2987351) * 4050.399"
8,219448.98,"sin(sin(square(x0)) * 3.4669638) * 3944.363"
9,183826.02,"square(-0.24051028 - sin(x0 * -2.3848667)) * 6588.418"
