Complexity,Loss,Equation
1,1.6886935e6,"1228.733"
3,455319.12,"x0 * 4901.105"
5,294810.12,"(x0 * 6933.1587) + -794.81824"
6,285517.6,"(sin(x0) + -0.11906202) * 7496.46"
7,227383.58,"sin(square(x0 * 1.8145045)) * 4054.937"
8,215340.9,"square(square(sin(x0 * 2.5660589))) * 3950.4553"
9,184225.05,"square(sin((x0 * 2.7772179) + -0.25769222)) * 3821.141"
